Position,Name,Team,CompositeAvgRank,PositionTier,SourceCount
WR,Drake London,ATL,7.29,1,7
WR,A.J. Brown,NE,8.14,1,7
WR,Nico Collins,HOU,9.25,2,8
WR,Rashee Rice,KC,10.43,2,7
WR,George Pickens,DAL,11,2,7
WR,Chris Olave,NO,12.43,2,7
WR,Tetairoa McMillan,CAR,14,2,7
WR,DeVonta Smith,PHI,15,2,7
WR,Garrett Wilson,NYJ,16.43,2,7
WR,Tee Higgins,CIN,17,2,7
WR,Zay Flowers,BAL,17.71,3,7
WR,Emeka Egbuka,TB,17.86,3,7
WR,Ladd McConkey,LAC,18.29,3,7
WR,Malik Nabers,NYG,19,3,7
WR,Jaylen Waddle,DEN,21.57,4,7
WR,Terry McLaurin,WAS,22,4,7
WR,Davante Adams,LAR,22.12,4,8
WR,Luther Burden III,CHI,24.71,5,7
WR,Jameson Williams,DET,25.43,5,7
WR,DJ Moore,BUF,26.43,5,7
WR,Mike Evans,SF,27.71,5,7
WR,Rome Odunze,CHI,28.12,5,8
WR,Carnell Tate,TEN,29.5,5,8
WR,Christian Watson,GB,29.75,5,8
WR,Marvin Harrison Jr.,ARI,32.25,6,8
WR,Courtland Sutton,DEN,32.86,6,7
WR,Alec Pierce,IND,33.12,6,8
WR,DK Metcalf,PIT,33.86,6,7
WR,Brian Thomas Jr.,JAX,34.71,6,7
WR,Jordyn Tyson,NO,35.38,6,8
WR,Parker Washington,JAX,36.62,6,8
WR,Michael Pittman Jr.,PIT,37.75,6,8
WR,Michael Wilson,ARI,39.12,7,8
WR,Makai Lemon,PHI,41.43,8,7
WR,Wan'Dale Robinson,TEN,43.29,9,7
WR,Chris Godwin Jr.,TB,43.38,9,8
WR,Jordan Addison,MIN,43.62,9,8
WR,Josh Downs,IND,44.5,9,8
WR,Jakobi Meyers,JAX,45,9,8
WR,Jayden Reed,GB,45.38,9,8
WR,Quentin Johnston,LAC,47.25,10,8
WR,Matthew Golden,GB,47.62,10,8
WR,Ricky Pearsall,SF,48.25,10,8
WR,Khalil Shakir,BUF,49.75,10,8
WR,Romeo Doubs,NE,50.88,10,8
WR,Jayden Higgins,HOU,50.88,10,8
WR,Xavier Worthy,KC,51.62,10,8
WR,KC Concepcion,CLE,53.71,11,7
WR,Jalen Coker,CAR,53.88,11,8
